Hoxc13	HOXC13
HOXC13	Hoxc13
Raf1	RAF1
RAF1	Raf1
Zic1	ZIC1
ZIC1	Zic1
Fzd7	FZD7
FZD7	Fzd7
Meis2	MEIS2
MEIS2	Meis2
Aldh1a2	ALDH1A2
ALDH1A2	Aldh1a2
Mpp4	MPP4
MPP4	Mpp4
Ntrk1	NTRK1
NTRK1	Ntrk1
Tap2	TAP2
TAP2	Tap2
Bco1	BCO1
BCO1	Bco1
Nodal	NODAL
NODAL	Nodal
Foxg1	FOXG1
FOXG1	Foxg1
Zfp703	ZNF703
ZNF703	Zfp703
Notch2	NOTCH2
NOTCH2	Notch2
Zp1	ZP1
ZP1	Zp1
Cldn3	CLDN3
CLDN3	Cldn3
Fn1	FN1
FN1	Fn1
Nkx2-3	NKX2-3
NKX2-3	Nkx2-3
Pou5f1	POU5F1,POU5F1B
POU5F1	Pou5f1
POU5F1B	Pou5f1
Pou5f2	POU5F2
POU5F2	Pou5f2
Gjc1	GJC1
GJC1	Gjc1
Chrna1	CHRNA1
CHRNA1	Chrna1
Dmrt2	DMRT2
DMRT2	Dmrt2
Ppm1a	PPM1A
PPM1A	Ppm1a
Hoxc4	HOXC4
HOXC4	Hoxc4
Sox11	SOX11
SOX11	Sox11
Nkx2-4	NKX2-4
NKX2-4	Nkx2-4
Cpeb1	CPEB1
CPEB1	Cpeb1
En2	EN2
EN2	En2
Copz1	COPZ1
COPZ1	Copz1
B2m	B2M
B2M	B2m
Fzd8	FZD8
FZD8	Fzd8
Gfap	GFAP
GFAP	Gfap
Pax7	PAX7
PAX7	Pax7
Pou3f3	POU3F3
POU3F3	Pou3f3
Pou3f4	POU3F4
POU3F4	Pou3f4
Foxa2	FOXA2
FOXA2	Foxa2
Tbx5	TBX5
TBX5	Tbx5
Fli1	FLI1
FLI1	Fli1
Oprm1	OPRM1
OPRM1	Oprm1
Psmb9	PSMB9
PSMB9	Psmb9
Slc39a7	SLC39A7
SLC39A7	Slc39a7
Tnnc2	TNNC2
TNNC2	Tnnc2
Notch3	NOTCH3
NOTCH3	Notch3
Guca1b	GUCA1B
GUCA1B	Guca1b
Cxcr4	CXCR4
CXCR4	Cxcr4
Vegfa	VEGFA
VEGFA	Vegfa
Elavl3	ELAVL3
ELAVL3	Elavl3
Hoxb2	HOXB2
HOXB2	Hoxb2
Fabp2	FABP2
FABP2	Fabp2
Pitx2	PITX2
PITX2	Pitx2
Nup93	NUP93
NUP93	Nup93
Ephb3	EPHB3
EPHB3	Ephb3
Hoxa13	HOXA13
HOXA13	Hoxa13
Klf17	KLF17
KLF17	Klf17
Klf2	KLF2
KLF2	Klf2
Rbp3	RBP3
RBP3	Rbp3
Foxn4	FOXN4
FOXN4	Foxn4
Nme7	NME7
NME7	Nme7
Mapk12	MAPK12
MAPK12	Mapk12
Opn1mw	OPN1LW,OPN1MW2,OPN1MW3
OPN1LW	Opn1mw
OPN1MW2	Opn1mw
OPN1MW3	Opn1mw
Psma6	PSMA6
PSMA6	Psma6
Gata1	GATA1
GATA1	Gata1
Apoa1	APOA1
APOA1	Apoa1
Cxcl14	CXCL14
CXCL14	Cxcl14
Neurog1	NEUROG1
NEUROG1	Neurog1
Msx2	MSX2
MSX2	Msx2
Pax6	PAX6
PAX6	Pax6
Ddx3y	DDX3Y
DDX3Y	Ddx3y
D1Pas1	DDX3X
DDX3X	D1Pas1,Ddx3x
Adar	ADAR
ADAR	Adar
Gng3	GNG3
GNG3	Gng3
Bcl2l1	BCL2L1
BCL2L1	Bcl2l1
Atp1a1	ATP1A1
ATP1A1	Atp1a1
Cldn11	CLDN11
CLDN11	Cldn11
Gch1	GCH1
GCH1	Gch1
mt-Nd4l	ND4L
ND4L	mt-Nd4l
Cacna1c	CACNA1C
